SL NO,BRANDS,PRODUCTS,TOP NOTE,MIDDLE NOTE,BASE NOTE,DESCRIPTION,OCCASION
616,PRADA,L'HOMME,"Neroli, Black Pepper","Iris, Amber","Patchouli, Sandalwood","L'Homme by Prada is a captivating fragrance that opens with neroli, black pepper, creating a fresh and inviting first impression. The heart reveals iris, amber, adding depth and sophistication, while the base of patchouli, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
617,RALPH LAUREN,POLO BLUE,"Melon, Cucumber, Bergamot","Basil, Sage, Geranium","Suede, Musk, Wood","Polo Blue by Ralph Lauren is a captivating fragrance that opens with melon, cucumber, creating a fresh and inviting first impression. The heart reveals basil, sage, adding depth and sophistication, while the base of suede, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
618,RALPH LAUREN,POLO SPORT,"Mint, Citrus, Aldehydes","Ginger, Lavender, Sea Notes","Musk, Sandalwood, Oakmoss","Polo Sport by Ralph Lauren is a captivating fragrance that opens with mint, citrus, creating a fresh and inviting first impression. The heart reveals ginger, lavender, adding depth and sophistication, while the base of musk, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
619,RALPH LAUREN,POLO SUPREME OUDH,"Cinnamon, Pink Pepper","Oud, Guaiac Wood","Vetiver, Honey, Amber","Polo Supreme Oudh by Ralph Lauren is a captivating fragrance that opens with cinnamon, pink pepper, creating a fresh and inviting first impression. The heart reveals oud, guaiac wood, adding depth and sophistication, while the base of vetiver, honey leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
620,RASASI,ROMANCE (W),"Lemon, Green Notes, Bergamot","Rose, Jasmine, Lily","Musk, Sandalwood, Amber","Romance (W) by Rasasi is a captivating fragrance that opens with lemon, green notes, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of musk, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
621,RASASI,ARBA WARDAT,"Rose, Floral Notes, Citrus","Jasmine, Rose, Spices","Musk, Amber, Woods","Arba Wardat by Rasasi is a captivating fragrance that opens with rose, floral notes, creating a fresh and inviting first impression. The heart reveals jasmine, rose, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
622,RASASI,FAQAT LIL RIJAAL,"Citrus, Fresh Notes, Spices","Floral Notes, Herbs","Musk, Amber, Woods","Faqat Lil Rijaal by Rasasi is a captivating fragrance that opens with citrus, fresh notes, creating a fresh and inviting first impression. The heart reveals floral notes, herbs, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
623,RASASI,BLUE LADY,"Citrus, Ylang-Ylang, Tuberose","Jasmine, Rose, Peach","Sandalwood, Vetiver, Musk","Blue Lady by Rasasi is a captivating fragrance that opens with citrus, ylang-ylang, creating a fresh and inviting first impression. The heart reveals jasmine, rose, adding depth and sophistication, while the base of sandalwood, vetiver leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
624,RASASI,DEHN AL OUDH AL NOKHBA,"Oud, Spices, Woody Notes","Rose, Amber, Oud","Musk, Leather, Oud","Dehn Al Oudh Al Nokhba by Rasasi is a captivating fragrance that opens with oud, spices, creating a fresh and inviting first impression. The heart reveals rose, amber, adding depth and sophistication, while the base of musk, leather leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
625,RASASI,HAWAS,"Apple, Bergamot, Cinnamon","Watery Notes, Plum, Orange Blossom","Ambergris, Musk, Driftwood","Hawas by Rasasi is a captivating fragrance that opens with apple, bergamot, creating a fresh and inviting first impression. The heart reveals watery notes, plum, adding depth and sophistication, while the base of ambergris, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
626,RASASI,NEBRAS AL ISHQ NOOR,"Citrus, Fruity Notes, Saffron","Rose, Jasmine, Amber","Musk, Oud, Vanilla","Nebras Al Ishq Noor by Rasasi is a captivating fragrance that opens with citrus, fruity notes, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of musk, oud leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
627,RASASI,AFSHAAN,"Green Notes, Citrus, Spices","Floral Notes, Rose","Musk, Sandalwood, Amber","Afshaan by Rasasi is a captivating fragrance that opens with green notes, citrus, creating a fresh and inviting first impression. The heart reveals floral notes, rose, adding depth and sophistication, while the base of musk, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
628,RASASI,RASASI HAWAS ICE,"Citrus, Apple, Mint","Aquatic Notes, Orange Blossom","Musk, Amber, Woods","Rasasi Hawas Ice by Rasasi is a captivating fragrance that opens with citrus, apple, creating a fresh and inviting first impression. The heart reveals aquatic notes, orange blossom, adding depth and sophistication, while the base of musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Gym / Casual
629,ROBERTO CAVALLI,JUST CAVALLI MEN,"Pepper, Bergamot, Clary Sage","Vetiver, Leather","Tonka Bean, Amber","Just Cavalli Men by Roberto Cavalli is a captivating fragrance that opens with pepper, bergamot, creating a fresh and inviting first impression. The heart reveals vetiver, leather, adding depth and sophistication, while the base of tonka bean, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
630,ROBERTO CAVALLI,FLORENCE AMBER,"Citrus, Mandarin, Peach","Orange Blossom, Jasmine","Amber, Patchouli, Vanilla","Florence Amber by Roberto Cavalli is a captivating fragrance that opens with citrus, mandarin, creating a fresh and inviting first impression. The heart reveals orange blossom, jasmine, adding depth and sophistication, while the base of amber, patchouli leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
631,ROBERTO CAVALLI,SERPENTINE,"Mango Blossom, Mandarin","Tiare Flower, Frangipani","Amber, Sandalwood, Musk","Serpentine by Roberto Cavalli is a captivating fragrance that opens with mango blossom, mandarin, creating a fresh and inviting first impression. The heart reveals tiare flower, frangipani, adding depth and sophistication, while the base of amber, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
632,ROBERTO CAVALLI,JUST CAVALI MEN,"Pepper, Bergamot, Clary Sage","Vetiver, Leather","Tonka Bean, Amber","Just Cavali Men by Roberto Cavalli is a captivating fragrance that opens with pepper, bergamot, creating a fresh and inviting first impression. The heart reveals vetiver, leather, adding depth and sophistication, while the base of tonka bean, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
633,ROBERTO CAVALLI,PARADISO,"Bergamot, Mandarin, Citrus","Jasmine, Floral Notes","Cypress, Pine, Laurels","Paradiso by Roberto Cavalli is a captivating fragrance that opens with bergamot, mandarin, creating a fresh and inviting first impression. The heart reveals jasmine, floral notes, adding depth and sophistication, while the base of cypress, pine leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
634,ROJA,ELYSIUM,"Grapefruit, Lemon, Bergamot","Vetiver, Juniper, Blackcurrant","Ambergris, Leather, Musk","Elysium by Roja is a captivating fragrance that opens with grapefruit, lemon, creating a fresh and inviting first impression. The heart reveals vetiver, juniper, adding depth and sophistication, while the base of ambergris, leather leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
635,ROJA,AMBER AOUD,"Bergamot, Lemon","Rose, Fig, Jasmine","Oud, Ambergris, Musk","Amber Aoud by Roja is a captivating fragrance that opens with bergamot, lemon, creating a fresh and inviting first impression. The heart reveals rose, fig, adding depth and sophistication, while the base of oud, ambergris leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
636,ROJA,ENIGMA,"Bergamot, Peach, Neroli","Tobacco, Jasmine, Ginger","Vanilla, Cognac, Amber","Enigma by Roja is a captivating fragrance that opens with bergamot, peach, creating a fresh and inviting first impression. The heart reveals tobacco, jasmine, adding depth and sophistication, while the base of vanilla, cognac leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
637,ROJA,DOVE HAUTE LUXE,"Citrus, Bergamot","Floral Notes, Rose, Jasmine","Ambergris, Oud, Musk","Dove Haute Luxe by Roja is a captivating fragrance that opens with citrus, bergamot, creating a fresh and inviting first impression. The heart reveals floral notes, rose, adding depth and sophistication, while the base of ambergris, oud leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
638,ROJA,FRUITY AOUD,"Fruity Notes, Citrus","Rose, Spices","Oud, Amber, Musk","Fruity Aoud by Roja is a captivating fragrance that opens with fruity notes, citrus, creating a fresh and inviting first impression. The heart reveals rose, spices, adding depth and sophistication, while the base of oud, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
639,ROJA,MUSK OUD -,"Bergamot, Lemon","Rose, Jasmine, Spices","Oud, Musk, Amber","Musk Oud - by Roja is a captivating fragrance that opens with bergamot, lemon, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of oud, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
640,ROJA,OLIGARCH,"Citrus, Bergamot, Lime","Jasmine, Blackcurrant, Apple","Leather, Ambergris, Patchouli","Oligarch by Roja is a captivating fragrance that opens with citrus, bergamot, creating a fresh and inviting first impression. The heart reveals jasmine, blackcurrant, adding depth and sophistication, while the base of leather, ambergris leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
641,ROJA,ENSLAVED,"Bergamot, Lemon","Jasmine, Rose","Leather, Amber, Musk","Enslaved by Roja is a captivating fragrance that opens with bergamot, lemon, creating a fresh and inviting first impression. The heart reveals jasmine, rose, adding depth and sophistication, while the base of leather, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
642,ROJA,UNSPOKEN,"Citrus, Bergamot","Floral Notes, Jasmine","Woody Notes, Musk, Amber","Unspoken by Roja is a captivating fragrance that opens with citrus, bergamot, creating a fresh and inviting first impression. The heart reveals floral notes, jasmine, adding depth and sophistication, while the base of woody notes, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
643,ROJA,LOST IN PARIS,"Citrus, Fruity Notes","Rose, Jasmine","Vanilla, Musk, Woods","Lost In Paris by Roja is a captivating fragrance that opens with citrus, fruity notes, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of vanilla, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
644,SOL DE JANEIRO,CHEIROSA 40,"Plum, Black Amber, Cassis","Jasmine, Orchid","Vanilla, Musk, Amber","Cheirosa 40 by Sol De Janeiro is a captivating fragrance that opens with plum, black amber, creating a fresh and inviting first impression. The heart reveals jasmine, orchid, adding depth and sophistication, while the base of vanilla, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
645,SOL DE JANEIRO,CHEIROSA 71,"Caramel, Macadamia, Sea Salt","White Chocolate, Coconut","Vanilla, Tonka Bean, Sugar","Cheirosa 71 by Sol De Janeiro is a captivating fragrance that opens with caramel, macadamia, creating a fresh and inviting first impression. The heart reveals white chocolate, coconut, adding depth and sophistication, while the base of vanilla, tonka bean leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
646,SOL DE JANEIRO,CHEIROSA 59,"Vanilla Orchid, Sugar, Violet","Sandalwood, Jasmine","Amber, Musk, Vanilla","Cheirosa 59 by Sol De Janeiro is a captivating fragrance that opens with vanilla orchid, sugar, creating a fresh and inviting first impression. The heart reveals sandalwood, jasmine, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
647,SOL DE JANEIRO,CHEIROSA 68,"Pitaya, Lychee, Mango","Hibiscus, Jasmine","Musk, Vanilla, Woods","Cheirosa 68 by Sol De Janeiro is a captivating fragrance that opens with pitaya, lychee, creating a fresh and inviting first impression. The heart reveals hibiscus, jasmine, adding depth and sophistication, while the base of musk, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
648,SOL DE JANEIRO,CHEIROSA 62,"Pistachio, Almond","Heliotrope, Jasmine","Caramel, Vanilla, Salt","Cheirosa 62 by Sol De Janeiro is a captivating fragrance that opens with pistachio, almond, creating a fresh and inviting first impression. The heart reveals heliotrope, jasmine, adding depth and sophistication, while the base of caramel, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
649,SOL DE JANEIRO,CARIOCA CRUSH,"Citrus, Mango, Pineapple","Coconut, Floral Notes","Musk, Vanilla, Woods","Carioca Crush by Sol De Janeiro is a captivating fragrance that opens with citrus, mango, creating a fresh and inviting first impression. The heart reveals coconut, floral notes, adding depth and sophistication, while the base of musk, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
650,SORA DORA,JANY,"Apple, Cinnamon, Bergamot","Caramel, Pastry Notes","Vanilla, Musk, Woods","Jany by Sora Dora is a captivating fragrance that opens with apple, cinnamon, creating a fresh and inviting first impression. The heart reveals caramel, pastry notes, adding depth and sophistication, while the base of vanilla, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
651,SOSPIRO,VIBRATO,"Grapefruit, Bergamot, Ginger","Jasmine, Herbal Notes","Musk, Cedarwood, Amber","Vibrato by Sospiro is a captivating fragrance that opens with grapefruit, bergamot, creating a fresh and inviting first impression. The heart reveals jasmine, herbal notes, adding depth and sophistication, while the base of musk, cedarwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
652,SOSPIRO,MUSE,"Plum, White Flowers, Citrus","Jasmine, Leather","Amber, Musk, Vanilla","Muse by Sospiro is a captivating fragrance that opens with plum, white flowers, creating a fresh and inviting first impression. The heart reveals jasmine, leather, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
653,SOSPIRO,ERBA PURA,"Orange, Lemon, Bergamot",Fruity Notes,"White Musk, Amber, Vanilla","Erba Pura by Sospiro is a captivating fragrance that opens with orange, lemon, creating a fresh and inviting first impression. The heart reveals fruity notes, adding depth and sophistication, while the base of white musk, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
654,SPIRIT OF DUBAI,DUSRA -,"Citrus, Saffron, Spices","Rose, Oud, Amber","Musk, Leather, Woody Notes","Dusra - by Spirit Of Dubai is a captivating fragrance that opens with citrus, saffron, creating a fresh and inviting first impression. The heart reveals rose, oud, adding depth and sophistication, while the base of musk, leather leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
655,SPIRIT OF DUBAI,MEYDAN -,"Bergamot, Lemon, Spices","Floral Notes, Oud","Amber, Musk, Woods","Meydan - by Spirit Of Dubai is a captivating fragrance that opens with bergamot, lemon, creating a fresh and inviting first impression. The heart reveals floral notes, oud, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
656,SPIRIT OF DUBAI,AJBAR -,"Citrus, Fruity Notes, Saffron","Rose, Jasmine, Oud","Amber, Musk, Leather","Ajbar - by Spirit Of Dubai is a captivating fragrance that opens with citrus, fruity notes, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
657,STEPHANE HUMBERT LUCAS 777,MANGO KISS SOLEIL DE JEDDAH,"Mango, Citrus, Blackcurrant","Jasmine, Ylang-Ylang","Vanilla, Musk, Amber","Mango Kiss Soleil De Jeddah by Stephane Humbert Lucas 777 is a captivating fragrance that opens with mango, citrus, creating a fresh and inviting first impression. The heart reveals jasmine, ylang-ylang, adding depth and sophistication, while the base of vanilla, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
658,STEPHANE HUMBERT LUCAS 777,PINK BOA,"Blackcurrant, Bergamot, Rosemary","Raspberry, Vodka Accord","Amber, Musk, Woods","Pink Boa by Stephane Humbert Lucas 777 is a captivating fragrance that opens with blackcurrant, bergamot, creating a fresh and inviting first impression. The heart reveals raspberry, vodka accord, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
659,SURRATI,MUKHALLAT FARIS,"Citrus, Saffron","Rose, Oud","Amber, Musk, Woods","Mukhallat Faris by Surrati is a captivating fragrance that opens with citrus, saffron, creating a fresh and inviting first impression. The heart reveals rose, oud, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
660,SWISS ARABIAN,SOUL OF BALI,"Tropical Fruits, Coconut, Citrus","White Flowers, Marine Notes","Musk, Vanilla, Sandalwood","Soul Of Bali by Swiss Arabian is a captivating fragrance that opens with tropical fruits, coconut, creating a fresh and inviting first impression. The heart reveals white flowers, marine notes, adding depth and sophistication, while the base of musk, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
661,THAMEEM,CARVED OUD,"Saffron, Spices, Citrus","Rose, Oud","Amber, Musk, Woods","Carved Oud by Thameem is a captivating fragrance that opens with saffron, spices, creating a fresh and inviting first impression. The heart reveals rose, oud, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
662,THOMAS KHOSALA,APRES L'AMOUR NO. 4,"Citrus, Orange Blossom",Aromatic Notes,"Amber, Musk, Woods","Apres L'Amour No. 4 by Thomas Khosala is a captivating fragrance that opens with citrus, orange blossom, creating a fresh and inviting first impression. The heart reveals aromatic notes, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
663,TIZIANA TERENZI,NERO OUDH,"Saffron, Bergamot, Spices","Rose, Oud, Jasmine","Amber, Musk, Sandalwood","Nero Oudh by Tiziana Terenzi is a captivating fragrance that opens with saffron, bergamot, creating a fresh and inviting first impression. The heart reveals rose, oud, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
664,TOM FORD,ROSE EXPOSED,"Rose, Pink Pepper","Floral Notes, Jasmine","Patchouli, Musk, Amber","Rose Exposed by Tom Ford is a captivating fragrance that opens with rose, pink pepper, creating a fresh and inviting first impression. The heart reveals floral notes, jasmine, adding depth and sophistication, while the base of patchouli, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
665,TOM FORD,BLACK ORCHID RESERVE,"Truffle, Blackcurrant, Citrus","Orchid, Spices, Floral Notes","Patchouli, Vanilla, Incense","Black Orchid Reserve by Tom Ford is a captivating fragrance that opens with truffle, blackcurrant, creating a fresh and inviting first impression. The heart reveals orchid, spices, adding depth and sophistication, while the base of patchouli, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
666,TOM FORD,BLACK ORCHID,"Truffle, Ylang-Ylang, Bergamot","Orchid, Spices, Fruity Notes","Patchouli, Vanilla, Incense","Black Orchid by Tom Ford is a captivating fragrance that opens with truffle, ylang-ylang, creating a fresh and inviting first impression. The heart reveals orchid, spices, adding depth and sophistication, while the base of patchouli, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
667,TOM FORD,FKING FABULOUS,"Lavender, Clary Sage","Leather, Bitter Almond","Tonka Bean, Cashmeran, Amber","Fking Fabulous by Tom Ford is a captivating fragrance that opens with lavender, clary sage, creating a fresh and inviting first impression. The heart reveals leather, bitter almond, adding depth and sophistication, while the base of tonka bean, cashmeran leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
668,TOM FORD,GREY VETIVER,"Grapefruit, Orange Blossom","Nutmeg, Orris","Vetiver, Amber, Woods","Grey Vetiver by Tom Ford is a captivating fragrance that opens with grapefruit, orange blossom, creating a fresh and inviting first impression. The heart reveals nutmeg, orris, adding depth and sophistication, while the base of vetiver, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
669,TOM FORD,ITALIAN CYPRESS,"Cypress, Mint, Basil","Woody Notes, Spices","Amber, Musk, Woods","Italian Cypress by Tom Ford is a captivating fragrance that opens with cypress, mint, creating a fresh and inviting first impression. The heart reveals woody notes, spices, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
670,TOM FORD,LOST CHERRY,"Cherry, Almond, Liquor","Rose, Jasmine","Tonka Bean, Vanilla, Sandalwood","Lost Cherry by Tom Ford is a captivating fragrance that opens with cherry, almond, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of tonka bean, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
671,TOM FORD,NEROLI PORTOFINO,"Neroli, Bergamot, Lemon","Orange Blossom, Jasmine","Amber, Musk, Angelica","Neroli Portofino by Tom Ford is a captivating fragrance that opens with neroli, bergamot, creating a fresh and inviting first impression. The heart reveals orange blossom, jasmine, adding depth and sophistication, while the base of amber, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
672,TOM FORD,ANTHRACITE,"Bergamot, Ginger, Spices","Floral Notes, Cedarwood","Amber, Patchouli, Sandalwood","Anthracite by Tom Ford is a captivating fragrance that opens with bergamot, ginger, creating a fresh and inviting first impression. The heart reveals floral notes, cedarwood, adding depth and sophistication, while the base of amber, patchouli leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
673,TOM FORD,NOIR MEN,"Bergamot, Verbena, Caraway","Violet, Pepper, Tuscan Iris","Vanilla, Amber, Leather","Noir Men by Tom Ford is a captivating fragrance that opens with bergamot, verbena, creating a fresh and inviting first impression. The heart reveals violet, pepper, adding depth and sophistication, while the base of vanilla, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
674,TOM FORD,NOIR WOMEN,"Bitter Orange, Ginger","Rose, Jasmine, Orange Blossom","Vanilla, Amber, Sandalwood","Noir Women by Tom Ford is a captivating fragrance that opens with bitter orange, ginger, creating a fresh and inviting first impression. The heart reveals rose, jasmine, adding depth and sophistication, while the base of vanilla, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
675,TOM FORD,NOIR DE NOIR,"Saffron, Rose","Truffle, Floral Notes","Patchouli, Oud, Vanilla","Noir De Noir by Tom Ford is a captivating fragrance that opens with saffron, rose, creating a fresh and inviting first impression. The heart reveals truffle, floral notes, adding depth and sophistication, while the base of patchouli, oud leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
676,TOM FORD,ORCHID SOLEIL,"Bitter Orange, Pink Pepper, Cypress","Tuberose, Red Spider Lily","Vanilla, Patchouli, Chestnut Cream","Orchid Soleil by Tom Ford is a captivating fragrance that opens with bitter orange, pink pepper, creating a fresh and inviting first impression. The heart reveals tuberose, red spider lily, adding depth and sophistication, while the base of vanilla, patchouli leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Formal / Special Occasions
677,TOM FORD,JASMINE ROUGE,"Cinnamon, Ginger, Bergamot","Jasmine, Ylang-Ylang, Neroli","Amber, Vanilla, Woody Notes","Jasmine Rouge by Tom Ford is a captivating fragrance that opens with cinnamon, ginger, creating a fresh and inviting first impression. The heart reveals jasmine, ylang-ylang, adding depth and sophistication, while the base of amber, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
678,TOM FORD,NOIR EXTREME,"Cardamom, Nutmeg, Saffron","Kulfi Accord, Rose, Jasmine","Vanilla, Amber, Sandalwood","Noir Extreme by Tom Ford is a captivating fragrance that opens with cardamom, nutmeg, creating a fresh and inviting first impression. The heart reveals kulfi accord, rose, adding depth and sophistication, while the base of vanilla, amber leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
679,TOM FORD,OMBRE LEATHER,Cardamom,"Leather, Jasmine Sambac","Amber, Moss, Patchouli","Ombre Leather by Tom Ford is a captivating fragrance that opens with cardamom, creating a fresh and inviting first impression. The heart reveals leather, jasmine sambac, adding depth and sophistication, while the base of amber, moss leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
680,TOM FORD,SANTAL BLUSH,"Spices, Carrot Seeds, Fenugreek","Ylang-Ylang, Jasmine","Sandalwood, Benzoin, Musk","Santal Blush by Tom Ford is a captivating fragrance that opens with spices, carrot seeds, creating a fresh and inviting first impression. The heart reveals ylang-ylang, jasmine, adding depth and sophistication, while the base of sandalwood, benzoin leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Office / Daily
681,TOM FORD,OUDH MINERAL,"Sea Notes, Pink Pepper","Oud, Marine Notes","Ambergris, Musk, Woods","Oudh Mineral by Tom Ford is a captivating fragrance that opens with sea notes, pink pepper, creating a fresh and inviting first impression. The heart reveals oud, marine notes, adding depth and sophistication, while the base of ambergris, musk leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
682,TOM FORD,OUDH WOOD,"Rosewood, Cardamom, Pepper","Oud, Sandalwood, Vetiver","Tonka Bean, Vanilla, Amber","Oudh Wood by Tom Ford is a captivating fragrance that opens with rosewood, cardamom, creating a fresh and inviting first impression. The heart reveals oud, sandalwood, adding depth and sophistication, while the base of tonka bean, vanilla leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
683,TOM FORD,TOBACCO OUDH,"Whiskey, Spices","Tobacco, Oud","Amber, Sandalwood, Patchouli","Tobacco Oudh by Tom Ford is a captivating fragrance that opens with whiskey, spices, creating a fresh and inviting first impression. The heart reveals tobacco, oud, adding depth and sophistication, while the base of amber, sandalwood leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
684,TOM FORD,TOBACCO VANILLA,"Tobacco Leaf, Spices","Vanilla, Tonka Bean, Cocoa","Dried Fruits, Woody Notes","Tobacco Vanilla by Tom Ford is a captivating fragrance that opens with tobacco leaf, spices, creating a fresh and inviting first impression. The heart reveals vanilla, tonka bean, adding depth and sophistication, while the base of dried fruits, woody notes leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
685,TOM FORD,TUSCAN LEATHER,"Raspberry, Saffron, Thyme","Leather, Jasmine","Amber, Suede, Woody Notes","Tuscan Leather by Tom Ford is a captivating fragrance that opens with raspberry, saffron, creating a fresh and inviting first impression. The heart reveals leather, jasmine, adding depth and sophistication, while the base of amber, suede leaves a smooth and long-lasting trail. An ideal scent for both everyday elegance and special occasions.",Date Night / Evening
